collab_id,period,year,month,source_dept,target_dept,collaboration_type,interactions_count,avg_resolution_days,satisfaction_score,outcome,region
COLLAB0001,2025-01-01,2025,Jan 2025,Finance,HR,Escalation,24,10.8,59.0,Successful,Central
COLLAB0002,2025-01-01,2025,Jan 2025,Finance,HR,Review,48,12.0,60.5,Partial,Central
COLLAB0003,2025-01-01,2025,Jan 2025,Finance,IT,Review,21,10.0,90.4,Failed,East
COLLAB0004,2025-01-01,2025,Jan 2025,Finance,IT,Review,9,1.9,90.6,Successful,East
COLLAB0005,2025-01-01,2025,Jan 2025,Finance,IT,Support,33,6.0,96.7,Partial,East
COLLAB0006,2025-01-01,2025,Jan 2025,Finance,Operations,Escalation,40,7.5,56.9,Successful,East
COLLAB0007,2025-01-01,2025,Jan 2025,Finance,Operations,Project,46,14.5,69.0,Partial,West
COLLAB0008,2025-01-01,2025,Jan 2025,Finance,Operations,Training,21,3.7,60.6,Successful,West
COLLAB0009,2025-01-01,2025,Jan 2025,Finance,Operations,Review,30,7.1,90.8,Successful,West
COLLAB0010,2025-01-01,2025,Jan 2025,Finance,Sales,Escalation,39,12.3,71.7,Successful,Central
COLLAB0011,2025-01-01,2025,Jan 2025,Finance,Sales,Training,17,3.0,63.6,Partial,Central
COLLAB0012,2025-01-01,2025,Jan 2025,Finance,Sales,Project,40,10.9,88.6,Partial,West
COLLAB0013,2025-01-01,2025,Jan 2025,HR,Finance,Review,6,2.6,83.7,Successful,North
COLLAB0014,2025-01-01,2025,Jan 2025,HR,Finance,Escalation,26,11.7,82.3,Successful,East
COLLAB0015,2025-01-01,2025,Jan 2025,HR,Finance,Review,40,1.4,73.8,Successful,South
COLLAB0016,2025-01-01,2025,Jan 2025,HR,IT,Support,49,4.3,57.5,Successful,Central
COLLAB0017,2025-01-01,2025,Jan 2025,HR,IT,Training,17,10.3,79.0,Successful,East
COLLAB0018,2025-01-01,2025,Jan 2025,HR,IT,Escalation,23,12.4,62.2,Partial,East
COLLAB0019,2025-01-01,2025,Jan 2025,HR,IT,Support,6,11.1,74.9,Successful,West
COLLAB0020,2025-01-01,2025,Jan 2025,HR,Operations,Training,27,10.7,74.2,Successful,North
COLLAB0021,2025-01-01,2025,Jan 2025,HR,Operations,Support,35,6.1,58.8,Successful,West
COLLAB0022,2025-01-01,2025,Jan 2025,HR,Sales,Project,21,10.8,66.4,Failed,Central
COLLAB0023,2025-01-01,2025,Jan 2025,HR,Sales,Escalation,48,11.0,74.3,Partial,West
COLLAB0024,2025-01-01,2025,Jan 2025,HR,Sales,Support,25,7.4,63.7,Successful,Central
COLLAB0025,2025-01-01,2025,Jan 2025,IT,Finance,Support,29,13.0,87.6,Successful,North
COLLAB0026,2025-01-01,2025,Jan 2025,IT,Finance,Review,37,9.8,80.1,Successful,North
COLLAB0027,2025-01-01,2025,Jan 2025,IT,Finance,Escalation,39,1.6,76.2,Successful,East
COLLAB0028,2025-01-01,2025,Jan 2025,IT,Finance,Project,19,2.4,80.3,Successful,West
COLLAB0029,2025-01-01,2025,Jan 2025,IT,HR,Support,46,5.9,80.4,Successful,South
COLLAB0030,2025-01-01,2025,Jan 2025,IT,HR,Project,23,12.0,58.6,Failed,East
COLLAB0031,2025-01-01,2025,Jan 2025,IT,Operations,Review,24,9.0,75.4,Successful,Central
COLLAB0032,2025-01-01,2025,Jan 2025,IT,Operations,Training,17,8.3,73.9,Successful,South
COLLAB0033,2025-01-01,2025,Jan 2025,IT,Sales,Support,42,3.0,78.8,Failed,South
COLLAB0034,2025-01-01,2025,Jan 2025,IT,Sales,Project,10,10.2,86.3,Partial,South
COLLAB0035,2025-01-01,2025,Jan 2025,Operations,Finance,Escalation,32,4.2,56.6,Successful,Central
COLLAB0036,2025-01-01,2025,Jan 2025,Operations,Finance,Project,29,12.6,89.8,Successful,Central
COLLAB0037,2025-01-01,2025,Jan 2025,Operations,Finance,Support,33,8.2,66.0,Failed,South
COLLAB0038,2025-01-01,2025,Jan 2025,Operations,Finance,Training,47,1.6,73.7,Successful,Central
COLLAB0039,2025-01-01,2025,Jan 2025,Operations,HR,Project,45,13.5,93.4,Partial,North
COLLAB0040,2025-01-01,2025,Jan 2025,Operations,HR,Review,5,10.3,71.1,Successful,West
COLLAB0041,2025-01-01,2025,Jan 2025,Operations,HR,Training,9,4.7,95.3,Partial,Central
COLLAB0042,2025-01-01,2025,Jan 2025,Operations,HR,Support,8,3.1,62.7,Successful,Central
COLLAB0043,2025-01-01,2025,Jan 2025,Operations,IT,Review,7,5.3,88.4,Partial,North
COLLAB0044,2025-01-01,2025,Jan 2025,Operations,IT,Support,48,3.0,55.6,Successful,North
COLLAB0045,2025-01-01,2025,Jan 2025,Operations,IT,Support,5,2.7,76.8,Successful,West
COLLAB0046,2025-01-01,2025,Jan 2025,Operations,Sales,Escalation,23,12.3,85.8,Successful,North
COLLAB0047,2025-01-01,2025,Jan 2025,Operations,Sales,Project,38,2.7,94.9,Successful,North
COLLAB0048,2025-01-01,2025,Jan 2025,Operations,Sales,Support,10,10.3,96.1,Successful,East
COLLAB0049,2025-01-01,2025,Jan 2025,Operations,Sales,Review,17,1.3,78.9,Failed,North
COLLAB0050,2025-01-01,2025,Jan 2025,Sales,Finance,Training,9,6.9,96.5,Successful,North
COLLAB0051,2025-01-01,2025,Jan 2025,Sales,Finance,Review,38,7.5,88.7,Failed,Central
COLLAB0052,2025-01-01,2025,Jan 2025,Sales,Finance,Training,5,12.6,89.3,Successful,East
COLLAB0053,2025-01-01,2025,Jan 2025,Sales,HR,Support,28,13.1,80.9,Partial,South
COLLAB0054,2025-01-01,2025,Jan 2025,Sales,HR,Review,46,10.1,92.3,Successful,East
COLLAB0055,2025-01-01,2025,Jan 2025,Sales,IT,Review,17,11.4,90.1,Successful,South
COLLAB0056,2025-01-01,2025,Jan 2025,Sales,IT,Training,9,9.3,61.3,Successful,North
COLLAB0057,2025-01-01,2025,Jan 2025,Sales,Operations,Support,18,13.9,62.1,Successful,North
COLLAB0058,2025-01-01,2025,Jan 2025,Sales,Operations,Support,25,1.3,57.4,Successful,North
COLLAB0059,2025-01-01,2025,Jan 2025,Sales,Operations,Project,12,9.3,84.3,Successful,Central
COLLAB0060,2025-01-01,2025,Jan 2025,Sales,Operations,Support,49,13.3,91.6,Successful,East
COLLAB0061,2025-02-01,2025,Feb 2025,Finance,HR,Project,45,4.5,79.6,Successful,South
COLLAB0062,2025-02-01,2025,Feb 2025,Finance,HR,Training,23,6.2,77.5,Successful,Central
COLLAB0063,2025-02-01,2025,Feb 2025,Finance,HR,Project,9,13.9,59.3,Partial,North
COLLAB0064,2025-02-01,2025,Feb 2025,Finance,IT,Training,15,12.2,88.5,Failed,Central
COLLAB0065,2025-02-01,2025,Feb 2025,Finance,IT,Escalation,33,2.9,78.1,Partial,South
COLLAB0066,2025-02-01,2025,Feb 2025,Finance,IT,Review,42,6.4,82.5,Partial,East
COLLAB0067,2025-02-01,2025,Feb 2025,Finance,IT,Support,16,7.7,72.9,Successful,West
COLLAB0068,2025-02-01,2025,Feb 2025,Finance,Operations,Support,21,5.6,71.3,Successful,North
COLLAB0069,2025-02-01,2025,Feb 2025,Finance,Operations,Escalation,40,13.8,75.7,Successful,Central
COLLAB0070,2025-02-01,2025,Feb 2025,Finance,Sales,Support,48,10.1,89.6,Successful,Central
COLLAB0071,2025-02-01,2025,Feb 2025,Finance,Sales,Review,28,5.0,86.6,Partial,North
COLLAB0072,2025-02-01,2025,Feb 2025,Finance,Sales,Support,27,2.8,81.4,Partial,Central
COLLAB0073,2025-02-01,2025,Feb 2025,Finance,Sales,Escalation,9,2.2,95.2,Partial,West
COLLAB0074,2025-02-01,2025,Feb 2025,HR,Finance,Training,48,9.3,88.7,Partial,Central
COLLAB0075,2025-02-01,2025,Feb 2025,HR,Finance,Escalation,9,9.3,59.1,Failed,South
COLLAB0076,2025-02-01,2025,Feb 2025,HR,IT,Escalation,10,9.0,75.0,Successful,East
COLLAB0077,2025-02-01,2025,Feb 2025,HR,IT,Escalation,28,12.2,76.2,Partial,South
COLLAB0078,2025-02-01,2025,Feb 2025,HR,IT,Review,43,2.6,58.8,Failed,North
COLLAB0079,2025-02-01,2025,Feb 2025,HR,Operations,Escalation,46,10.4,69.3,Successful,West
COLLAB0080,2025-02-01,2025,Feb 2025,HR,Operations,Escalation,45,4.8,70.7,Partial,East
COLLAB0081,2025-02-01,2025,Feb 2025,HR,Operations,Support,48,14.1,73.8,Successful,North
COLLAB0082,2025-02-01,2025,Feb 2025,HR,Sales,Support,12,14.1,88.6,Partial,East
COLLAB0083,2025-02-01,2025,Feb 2025,HR,Sales,Escalation,26,14.8,85.9,Successful,Central
COLLAB0084,2025-02-01,2025,Feb 2025,HR,Sales,Training,17,9.9,60.2,Successful,Central
COLLAB0085,2025-02-01,2025,Feb 2025,HR,Sales,Review,31,1.2,74.5,Partial,West
COLLAB0086,2025-02-01,2025,Feb 2025,IT,Finance,Review,18,7.2,68.0,Successful,East
COLLAB0087,2025-02-01,2025,Feb 2025,IT,Finance,Training,29,15.0,92.8,Partial,North
COLLAB0088,2025-02-01,2025,Feb 2025,IT,Finance,Escalation,17,2.5,98.0,Partial,North
COLLAB0089,2025-02-01,2025,Feb 2025,IT,Finance,Escalation,33,13.6,56.2,Partial,North
COLLAB0090,2025-02-01,2025,Feb 2025,IT,HR,Support,43,3.8,94.2,Successful,West
COLLAB0091,2025-02-01,2025,Feb 2025,IT,HR,Support,34,1.1,57.2,Successful,Central
COLLAB0092,2025-02-01,2025,Feb 2025,IT,Operations,Training,41,12.9,57.5,Successful,West
COLLAB0093,2025-02-01,2025,Feb 2025,IT,Operations,Training,10,10.8,91.0,Failed,West
COLLAB0094,2025-02-01,2025,Feb 2025,IT,Operations,Review,6,2.7,76.7,Successful,East
COLLAB0095,2025-02-01,2025,Feb 2025,IT,Sales,Review,33,3.2,86.6,Partial,North
COLLAB0096,2025-02-01,2025,Feb 2025,IT,Sales,Project,9,14.7,81.3,Successful,West
COLLAB0097,2025-02-01,2025,Feb 2025,IT,Sales,Review,7,1.6,93.0,Partial,East
COLLAB0098,2025-02-01,2025,Feb 2025,IT,Sales,Escalation,21,3.6,97.1,Successful,North
COLLAB0099,2025-02-01,2025,Feb 2025,Operations,Finance,Review,16,9.0,61.2,Partial,West
COLLAB0100,2025-02-01,2025,Feb 2025,Operations,Finance,Support,47,9.1,85.1,Successful,South
COLLAB0101,2025-02-01,2025,Feb 2025,Operations,Finance,Escalation,12,8.1,72.4,Failed,North
COLLAB0102,2025-02-01,2025,Feb 2025,Operations,HR,Review,48,4.9,68.1,Successful,North
COLLAB0103,2025-02-01,2025,Feb 2025,Operations,HR,Escalation,24,9.9,72.7,Partial,North
COLLAB0104,2025-02-01,2025,Feb 2025,Operations,HR,Review,47,5.4,56.6,Successful,East
COLLAB0105,2025-02-01,2025,Feb 2025,Operations,HR,Support,23,4.2,79.6,Successful,South
COLLAB0106,2025-02-01,2025,Feb 2025,Operations,IT,Review,36,10.1,68.6,Partial,South
COLLAB0107,2025-02-01,2025,Feb 2025,Operations,IT,Escalation,13,9.8,70.5,Successful,East
COLLAB0108,2025-02-01,2025,Feb 2025,Operations,IT,Training,28,13.4,94.6,Partial,Central
COLLAB0109,2025-02-01,2025,Feb 2025,Operations,Sales,Escalation,28,5.4,91.0,Partial,South
COLLAB0110,2025-02-01,2025,Feb 2025,Operations,Sales,Review,7,12.8,57.4,Successful,North
COLLAB0111,2025-02-01,2025,Feb 2025,Operations,Sales,Project,17,3.4,68.5,Successful,North
COLLAB0112,2025-02-01,2025,Feb 2025,Sales,Finance,Training,5,13.0,71.0,Partial,West
COLLAB0113,2025-02-01,2025,Feb 2025,Sales,Finance,Project,35,6.1,96.2,Partial,North
COLLAB0114,2025-02-01,2025,Feb 2025,Sales,Finance,Project,49,5.4,84.6,Partial,North
COLLAB0115,2025-02-01,2025,Feb 2025,Sales,Finance,Escalation,46,1.2,64.0,Successful,West
COLLAB0116,2025-02-01,2025,Feb 2025,Sales,HR,Review,37,12.7,97.5,Successful,North
COLLAB0117,2025-02-01,2025,Feb 2025,Sales,HR,Training,30,14.9,61.1,Partial,East
COLLAB0118,2025-02-01,2025,Feb 2025,Sales,HR,Review,19,11.6,73.7,Successful,North
COLLAB0119,2025-02-01,2025,Feb 2025,Sales,HR,Review,26,3.5,94.0,Successful,Central
COLLAB0120,2025-02-01,2025,Feb 2025,Sales,IT,Escalation,15,7.9,80.2,Successful,West
COLLAB0121,2025-02-01,2025,Feb 2025,Sales,IT,Review,17,12.8,82.4,Successful,South
COLLAB0122,2025-02-01,2025,Feb 2025,Sales,Operations,Escalation,40,1.8,70.8,Partial,West
COLLAB0123,2025-02-01,2025,Feb 2025,Sales,Operations,Escalation,29,12.8,75.8,Successful,East
COLLAB0124,2025-02-01,2025,Feb 2025,Sales,Operations,Escalation,21,13.7,80.2,Partial,East
COLLAB0125,2025-03-01,2025,Mar 2025,Finance,HR,Training,31,8.4,59.5,Successful,East
COLLAB0126,2025-03-01,2025,Mar 2025,Finance,HR,Project,22,9.8,62.6,Failed,North
COLLAB0127,2025-03-01,2025,Mar 2025,Finance,IT,Support,13,14.0,74.3,Successful,East
COLLAB0128,2025-03-01,2025,Mar 2025,Finance,IT,Support,30,4.9,85.2,Successful,North
COLLAB0129,2025-03-01,2025,Mar 2025,Finance,IT,Review,33,9.7,75.5,Failed,Central
COLLAB0130,2025-03-01,2025,Mar 2025,Finance,Operations,Escalation,45,14.5,88.6,Partial,East
COLLAB0131,2025-03-01,2025,Mar 2025,Finance,Operations,Training,27,7.2,78.8,Successful,West
COLLAB0132,2025-03-01,2025,Mar 2025,Finance,Operations,Training,34,14.8,67.4,Failed,Central
COLLAB0133,2025-03-01,2025,Mar 2025,Finance,Operations,Escalation,33,2.7,56.8,Partial,South
COLLAB0134,2025-03-01,2025,Mar 2025,Finance,Sales,Escalation,44,7.5,97.1,Successful,Central
COLLAB0135,2025-03-01,2025,Mar 2025,Finance,Sales,Support,23,2.2,78.9,Partial,East
COLLAB0136,2025-03-01,2025,Mar 2025,Finance,Sales,Training,25,1.5,71.0,Failed,Central
COLLAB0137,2025-03-01,2025,Mar 2025,HR,Finance,Project,46,11.0,88.3,Successful,West
COLLAB0138,2025-03-01,2025,Mar 2025,HR,Finance,Project,43,12.2,57.1,Partial,Central
COLLAB0139,2025-03-01,2025,Mar 2025,HR,Finance,Support,15,1.1,77.1,Partial,Central
COLLAB0140,2025-03-01,2025,Mar 2025,HR,Finance,Support,35,6.6,93.5,Successful,West
COLLAB0141,2025-03-01,2025,Mar 2025,HR,IT,Support,15,5.9,91.7,Partial,Central
COLLAB0142,2025-03-01,2025,Mar 2025,HR,IT,Support,25,4.8,93.1,Successful,South
COLLAB0143,2025-03-01,2025,Mar 2025,HR,IT,Training,13,5.8,85.9,Successful,East
COLLAB0144,2025-03-01,2025,Mar 2025,HR,IT,Training,33,6.7,60.9,Failed,South
COLLAB0145,2025-03-01,2025,Mar 2025,HR,Operations,Review,43,9.3,71.9,Failed,West
COLLAB0146,2025-03-01,2025,Mar 2025,HR,Operations,Review,46,2.9,70.7,Successful,North
COLLAB0147,2025-03-01,2025,Mar 2025,HR,Sales,Support,14,7.3,82.3,Successful,Central
COLLAB0148,2025-03-01,2025,Mar 2025,HR,Sales,Support,44,11.5,78.3,Successful,Central
COLLAB0149,2025-03-01,2025,Mar 2025,IT,Finance,Support,22,5.6,94.1,Failed,South
COLLAB0150,2025-03-01,2025,Mar 2025,IT,Finance,Support,28,9.3,83.1,Partial,North
COLLAB0151,2025-03-01,2025,Mar 2025,IT,Finance,Support,18,3.2,92.6,Successful,South
COLLAB0152,2025-03-01,2025,Mar 2025,IT,Finance,Project,17,12.1,88.7,Successful,West
COLLAB0153,2025-03-01,2025,Mar 2025,IT,HR,Training,26,10.4,90.0,Failed,West
COLLAB0154,2025-03-01,2025,Mar 2025,IT,HR,Training,26,8.9,59.4,Partial,North
COLLAB0155,2025-03-01,2025,Mar 2025,IT,HR,Review,34,8.2,73.6,Failed,North
COLLAB0156,2025-03-01,2025,Mar 2025,IT,Operations,Training,48,1.6,65.6,Successful,East
COLLAB0157,2025-03-01,2025,Mar 2025,IT,Operations,Project,16,5.4,57.2,Successful,East
COLLAB0158,2025-03-01,2025,Mar 2025,IT,Sales,Project,39,10.8,63.9,Successful,North
COLLAB0159,2025-03-01,2025,Mar 2025,IT,Sales,Training,18,6.8,55.1,Successful,South
COLLAB0160,2025-03-01,2025,Mar 2025,IT,Sales,Project,12,8.1,76.0,Partial,North
COLLAB0161,2025-03-01,2025,Mar 2025,IT,Sales,Project,19,11.9,91.2,Successful,East
COLLAB0162,2025-03-01,2025,Mar 2025,Operations,Finance,Support,19,7.7,84.4,Successful,South
COLLAB0163,2025-03-01,2025,Mar 2025,Operations,Finance,Support,16,1.7,74.8,Successful,Central
COLLAB0164,2025-03-01,2025,Mar 2025,Operations,HR,Escalation,32,2.9,94.5,Successful,North
COLLAB0165,2025-03-01,2025,Mar 2025,Operations,HR,Project,5,1.4,59.8,Successful,West
COLLAB0166,2025-03-01,2025,Mar 2025,Operations,HR,Escalation,8,9.3,91.5,Successful,East
COLLAB0167,2025-03-01,2025,Mar 2025,Operations,HR,Review,5,9.7,62.0,Partial,Central
COLLAB0168,2025-03-01,2025,Mar 2025,Operations,IT,Training,43,13.9,74.5,Successful,Central
COLLAB0169,2025-03-01,2025,Mar 2025,Operations,IT,Escalation,8,12.4,68.7,Failed,South
COLLAB0170,2025-03-01,2025,Mar 2025,Operations,IT,Review,40,4.0,72.8,Partial,West
COLLAB0171,2025-03-01,2025,Mar 2025,Operations,IT,Support,43,5.9,55.8,Successful,North
COLLAB0172,2025-03-01,2025,Mar 2025,Operations,Sales,Project,43,11.3,68.6,Partial,West
COLLAB0173,2025-03-01,2025,Mar 2025,Operations,Sales,Project,45,2.8,61.2,Successful,West
COLLAB0174,2025-03-01,2025,Mar 2025,Operations,Sales,Escalation,40,14.9,55.2,Successful,East
COLLAB0175,2025-03-01,2025,Mar 2025,Operations,Sales,Training,5,9.2,60.5,Failed,East
COLLAB0176,2025-03-01,2025,Mar 2025,Sales,Finance,Project,44,9.7,66.7,Successful,West
COLLAB0177,2025-03-01,2025,Mar 2025,Sales,Finance,Project,10,10.3,91.0,Successful,South
COLLAB0178,2025-03-01,2025,Mar 2025,Sales,Finance,Project,5,4.2,92.6,Successful,Central
COLLAB0179,2025-03-01,2025,Mar 2025,Sales,Finance,Support,13,6.5,84.1,Partial,East
COLLAB0180,2025-03-01,2025,Mar 2025,Sales,HR,Escalation,17,14.8,73.0,Successful,West
COLLAB0181,2025-03-01,2025,Mar 2025,Sales,HR,Training,28,12.1,77.4,Successful,East
COLLAB0182,2025-03-01,2025,Mar 2025,Sales,HR,Review,39,6.5,84.4,Successful,Central
COLLAB0183,2025-03-01,2025,Mar 2025,Sales,IT,Project,16,3.8,91.9,Failed,North
COLLAB0184,2025-03-01,2025,Mar 2025,Sales,IT,Training,46,7.6,86.5,Successful,West
COLLAB0185,2025-03-01,2025,Mar 2025,Sales,IT,Training,23,11.4,86.4,Successful,East
COLLAB0186,2025-03-01,2025,Mar 2025,Sales,Operations,Escalation,24,13.7,92.2,Successful,North
COLLAB0187,2025-03-01,2025,Mar 2025,Sales,Operations,Training,40,3.9,87.0,Successful,East
COLLAB0188,2025-03-01,2025,Mar 2025,Sales,Operations,Project,49,11.1,93.2,Failed,South
COLLAB0189,2025-04-01,2025,Apr 2025,Finance,HR,Support,20,9.1,72.6,Successful,West
COLLAB0190,2025-04-01,2025,Apr 2025,Finance,HR,Project,32,7.5,63.5,Failed,South
COLLAB0191,2025-04-01,2025,Apr 2025,Finance,HR,Support,39,3.3,84.4,Successful,North
COLLAB0192,2025-04-01,2025,Apr 2025,Finance,IT,Support,37,2.4,87.4,Failed,South
COLLAB0193,2025-04-01,2025,Apr 2025,Finance,IT,Review,44,3.8,63.0,Successful,East
COLLAB0194,2025-04-01,2025,Apr 2025,Finance,Operations,Project,26,1.6,75.7,Successful,North
COLLAB0195,2025-04-01,2025,Apr 2025,Finance,Operations,Training,35,2.5,65.9,Partial,East
COLLAB0196,2025-04-01,2025,Apr 2025,Finance,Operations,Project,18,13.3,93.8,Partial,North
COLLAB0197,2025-04-01,2025,Apr 2025,Finance,Sales,Escalation,49,2.0,60.9,Failed,Central
COLLAB0198,2025-04-01,2025,Apr 2025,Finance,Sales,Support,24,12.8,81.5,Successful,North
COLLAB0199,2025-04-01,2025,Apr 2025,Finance,Sales,Review,29,4.5,61.9,Successful,North
COLLAB0200,2025-04-01,2025,Apr 2025,Finance,Sales,Training,28,5.1,71.0,Successful,West
COLLAB0201,2025-04-01,2025,Apr 2025,HR,Finance,Review,6,3.9,95.5,Partial,West
COLLAB0202,2025-04-01,2025,Apr 2025,HR,Finance,Review,10,2.4,66.4,Failed,North
COLLAB0203,2025-04-01,2025,Apr 2025,HR,Finance,Training,34,7.3,65.5,Successful,East
COLLAB0204,2025-04-01,2025,Apr 2025,HR,Finance,Training,36,13.2,69.6,Partial,East
COLLAB0205,2025-04-01,2025,Apr 2025,HR,IT,Escalation,16,3.3,95.4,Successful,North
COLLAB0206,2025-04-01,2025,Apr 2025,HR,IT,Training,19,7.9,77.8,Partial,East
COLLAB0207,2025-04-01,2025,Apr 2025,HR,IT,Support,29,2.8,60.4,Successful,North
COLLAB0208,2025-04-01,2025,Apr 2025,HR,Operations,Project,26,3.3,78.8,Failed,Central
COLLAB0209,2025-04-01,2025,Apr 2025,HR,Operations,Support,44,2.7,94.4,Successful,North
COLLAB0210,2025-04-01,2025,Apr 2025,HR,Operations,Project,19,7.5,72.2,Partial,East
COLLAB0211,2025-04-01,2025,Apr 2025,HR,Operations,Review,42,12.5,86.9,Successful,Central
COLLAB0212,2025-04-01,2025,Apr 2025,HR,Sales,Review,42,5.8,57.2,Successful,Central
COLLAB0213,2025-04-01,2025,Apr 2025,HR,Sales,Training,20,9.7,87.3,Partial,West
COLLAB0214,2025-04-01,2025,Apr 2025,HR,Sales,Escalation,14,7.1,82.5,Successful,Central
COLLAB0215,2025-04-01,2025,Apr 2025,IT,Finance,Project,17,1.9,74.7,Failed,South
COLLAB0216,2025-04-01,2025,Apr 2025,IT,Finance,Escalation,10,9.9,71.9,Successful,North
COLLAB0217,2025-04-01,2025,Apr 2025,IT,Finance,Training,23,7.5,83.4,Successful,West
